date,location_key,location_name,latitude,longitude,elevation_m,tavg,tmin,tmax,prcp,wspd,wpgt,pres,humidity,solar_radiation,flood_event,nasa_tavg,nasa_tmin,nasa_tmax,nasa_prcp,nasa_wspd,nasa_wpgt,nasa_pres
2000-01-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,5.53,1.43,12.51,0.0,1.17,2.68,79.3,23.9,12.47,0,5.53,1.43,12.51,0.0,1.17,2.68,79.3
2000-01-01,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-0.52,-6.76,7.15,0.0,1.12,2.06,71.73,37.81,12.28,0,-0.52,-6.76,7.15,0.0,1.12,2.06,71.73
2000-01-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,6.33,1.69,13.85,0.0,1.17,2.49,79.28,21.98,12.64,0,6.33,1.69,13.85,0.0,1.17,2.49,79.28
2000-01-02,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,0.11,-5.63,7.85,0.0,1.09,1.94,71.72,35.78,12.31,0,0.11,-5.63,7.85,0.0,1.09,1.94,71.72
2000-01-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,6.3,1.72,14.26,0.0,1.29,3.13,79.11,20.08,12.79,0,6.3,1.72,14.26,0.0,1.29,3.13,79.11
2000-01-03,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,0.31,-6.81,8.84,0.0,1.12,2.5,71.57,32.04,12.46,0,0.31,-6.81,8.84,0.0,1.12,2.5,71.57
2000-01-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,5.61,2.3,12.38,0.0,1.25,3.06,79.06,20.57,13.0,0,5.61,2.3,12.38,0.0,1.25,3.06,79.06
2000-01-04,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-0.08,-5.95,7.83,0.0,1.17,2.24,71.49,31.59,12.48,0,-0.08,-5.95,7.83,0.0,1.17,2.24,71.49
2000-01-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,5.18,1.15,11.55,0.0,1.2,2.76,79.18,23.52,12.78,0,5.18,1.15,11.55,0.0,1.2,2.76,79.18
2000-01-05,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-0.41,-5.33,5.89,0.0,1.11,2.37,71.61,34.97,12.33,0,-0.41,-5.33,5.89,0.0,1.11,2.37,71.61
2000-01-06,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-0.54,-3.62,4.99,0.0,1.03,2.06,71.58,41.26,11.73,0,-0.54,-3.62,4.99,0.0,1.03,2.06,71.58
2000-01-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,5.48,2.14,11.63,0.0,1.03,2.21,79.13,23.49,12.36,0,5.48,2.14,11.63,0.0,1.03,2.21,79.13
2000-01-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,5.34,2.42,9.92,0.0,1.03,2.35,79.07,30.44,6.36,0,5.34,2.42,9.92,0.0,1.03,2.35,79.07
2000-01-07,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-1.35,-3.36,2.93,0.0,1.27,3.17,71.49,54.23,3.82,0,-1.35,-3.36,2.93,0.0,1.27,3.17,71.49
2000-01-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,3.13,-1.18,8.29,0.0,1.24,3.09,78.94,43.83,8.95,0,3.13,-1.18,8.29,0.0,1.24,3.09,78.94
2000-01-08,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.32,-6.84,1.64,0.0,1.38,3.43,71.3,65.09,4.57,0,-3.32,-6.84,1.64,0.0,1.38,3.43,71.3
2000-01-09,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.85,-1.95,5.23,0.1,1.14,3.1,78.75,70.69,7.11,0,0.85,-1.95,5.23,0.1,1.14,3.1,78.75
2000-01-09,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.14,-7.64,-1.97,0.05,1.28,2.74,71.07,80.21,4.75,0,-5.14,-7.64,-1.97,0.05,1.28,2.74,71.07
2000-01-10,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.57,-2.53,7.08,0.03,1.12,2.3,78.9,48.47,10.85,0,1.57,-2.53,7.08,0.03,1.12,2.3,78.9
2000-01-10,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.37,-9.15,-0.65,0.01,1.23,2.9,71.22,65.11,6.14,0,-5.37,-9.15,-0.65,0.01,1.23,2.9,71.22
2000-01-11,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.3,-2.46,0.76,0.93,1.17,2.34,78.84,81.07,2.81,0,-1.3,-2.46,0.76,0.93,1.17,2.34,78.84
2000-01-11,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.37,-6.69,-3.37,0.42,1.25,2.84,71.07,85.97,4.0,0,-5.37,-6.69,-3.37,0.42,1.25,2.84,71.07
2000-01-12,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.11,-2.51,1.6,3.02,0.77,1.17,78.51,90.67,2.83,0,-1.11,-2.51,1.6,3.02,0.77,1.17,78.51
2000-01-12,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.71,-6.6,-0.78,1.43,1.12,2.64,70.78,87.48,3.08,0,-4.71,-6.6,-0.78,1.43,1.12,2.64,70.78
2000-01-13,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.36,-3.06,1.89,8.15,0.93,2.6,78.34,91.88,3.56,0,-1.36,-3.06,1.89,8.15,0.93,2.6,78.34
2000-01-13,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.62,-7.71,-2.58,2.55,1.61,3.46,70.56,86.44,2.96,0,-5.62,-7.71,-2.58,2.55,1.61,3.46,70.56
2000-01-14,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-7.48,-9.46,-4.73,0.0,1.13,2.6,70.59,79.44,9.34,0,-7.48,-9.46,-4.73,0.0,1.13,2.6,70.59
2000-01-14,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-2.94,-5.37,-0.1,0.0,1.0,2.47,78.42,76.18,5.03,0,-2.94,-5.37,-0.1,0.0,1.0,2.47,78.42
2000-01-15,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-3.42,-5.75,0.47,0.0,0.84,1.78,78.72,59.38,10.54,0,-3.42,-5.75,0.47,0.0,0.84,1.78,78.72
2000-01-15,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-8.67,-11.2,-5.43,0.0,0.89,1.76,70.88,68.0,7.85,0,-8.67,-11.2,-5.43,0.0,0.89,1.76,70.88
2000-01-16,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-8.85,-13.77,-3.34,0.0,1.26,2.32,71.34,49.16,6.07,0,-8.85,-13.77,-3.34,0.0,1.26,2.32,71.34
2000-01-16,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-2.8,-6.28,2.96,0.0,1.31,2.02,79.12,42.54,12.33,0,-2.8,-6.28,2.96,0.0,1.31,2.02,79.12
2000-01-17,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.89,-6.48,5.8,0.0,1.36,2.56,79.36,42.46,6.96,0,-0.89,-6.48,5.8,0.0,1.36,2.56,79.36
2000-01-17,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.15,-12.08,0.02,0.0,1.35,2.72,71.63,48.63,9.11,0,-6.15,-12.08,0.02,0.0,1.35,2.72,71.63
2000-01-18,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.55,-7.12,-1.63,0.01,1.27,2.77,71.68,85.53,4.16,0,-4.55,-7.12,-1.63,0.01,1.27,2.77,71.68
2000-01-18,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.09,-2.93,3.47,0.08,1.1,2.27,79.4,80.08,5.45,0,-0.09,-2.93,3.47,0.08,1.1,2.27,79.4
2000-01-19,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.22,-7.58,0.42,0.0,0.89,1.81,71.39,68.69,9.22,0,-4.22,-7.58,0.42,0.0,0.89,1.81,71.39
2000-01-19,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.5,-3.21,6.73,0.0,1.23,2.74,79.03,64.53,11.66,0,1.5,-3.21,6.73,0.0,1.23,2.74,79.03
2000-01-20,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.56,-12.2,3.27,0.0,1.35,2.42,71.16,35.6,10.51,0,-4.56,-12.2,3.27,0.0,1.35,2.42,71.16
2000-01-20,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.41,-4.98,9.61,0.0,1.39,2.18,78.75,31.71,13.42,0,1.41,-4.98,9.61,0.0,1.39,2.18,78.75
2000-01-21,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.66,-4.26,8.67,0.0,1.53,2.72,78.79,33.48,12.74,0,1.66,-4.26,8.67,0.0,1.53,2.72,78.79
2000-01-21,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.08,-10.17,2.33,0.0,1.51,3.16,71.18,41.93,11.44,0,-4.08,-10.17,2.33,0.0,1.51,3.16,71.18
2000-01-22,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.17,-8.58,0.86,0.0,1.18,2.77,71.4,67.05,10.32,0,-4.17,-8.58,0.86,0.0,1.18,2.77,71.4
2000-01-22,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.38,-3.55,7.44,0.0,1.29,2.64,79.07,59.16,10.69,0,1.38,-3.55,7.44,0.0,1.29,2.64,79.07
2000-01-23,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.44,-9.36,1.15,0.1,1.16,2.73,71.43,69.48,11.0,0,-4.44,-9.36,1.15,0.1,1.16,2.73,71.43
2000-01-23,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.56,-2.98,7.98,0.03,1.42,2.78,79.07,54.52,13.57,0,1.56,-2.98,7.98,0.03,1.42,2.78,79.07
2000-01-24,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.9,-7.03,-2.46,0.07,1.16,2.35,71.41,79.35,9.02,0,-4.9,-7.03,-2.46,0.07,1.16,2.35,71.41
2000-01-24,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.25,-2.73,4.74,0.16,1.14,1.79,79.11,63.7,12.27,0,0.25,-2.73,4.74,0.16,1.14,1.79,79.11
2000-01-25,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.13,-2.61,3.68,0.29,1.37,3.69,79.16,86.22,4.59,0,-0.13,-2.61,3.68,0.29,1.37,3.69,79.16
2000-01-25,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.12,-6.87,-2.24,0.03,1.71,4.56,71.37,88.78,9.63,0,-5.12,-6.87,-2.24,0.03,1.71,4.56,71.37
2000-01-26,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.21,-3.12,4.6,0.01,1.17,2.56,79.25,69.58,6.07,0,0.21,-3.12,4.6,0.01,1.17,2.56,79.25
