date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,location_key,location_name,latitude,longitude,elevation_m
2021-01-06,7.8,3.4,12.0,3.3,,,2.9,,1018.3,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-07,7.1,2.2,14.2,1.7,,,4.5,,1016.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-08,6.1,2.2,10.1,1.3,,,4.8,,1016.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-09,6.8,1.5,14.1,0.0,,,4.8,,1018.0,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-10,8.7,4.1,15.6,0.0,,,5.1,,1016.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-11,9.3,4.7,16.9,0.0,,,5.3,,1016.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-12,9.6,5.1,18.0,0.0,,,6.4,,1016.3,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-13,11.3,6.4,19.3,0.0,,,5.7,,1014.3,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-14,11.8,8.5,17.4,0.0,,,3.1,,1014.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-15,11.6,7.1,18.0,0.0,,,4.0,,1013.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-16,11.4,6.1,19.5,0.0,,,5.4,,1013.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-17,11.4,7.9,16.3,0.0,,,4.2,,1013.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-18,9.4,5.5,14.5,0.0,,,4.4,,1018.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-19,10.0,5.5,16.2,0.0,,,4.6,,1015.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-20,10.0,5.5,16.9,0.0,,,5.4,,1015.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-21,11.3,6.1,18.1,0.0,,,5.0,,1013.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-22,9.2,4.8,14.6,5.7,,,4.7,,1013.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-23,5.8,2.2,8.9,7.6,,,4.1,,1014.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-24,5.8,0.3,13.0,0.0,,,4.6,,1018.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-25,6.4,0.1,15.2,0.0,,,5.2,,1018.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-26,6.6,0.9,14.7,0.0,,,5.4,,1018.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-27,6.4,0.6,14.6,0.0,,,6.3,,1018.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-28,6.5,0.0,14.7,0.0,,,5.4,,1018.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-29,6.5,0.1,14.7,0.0,,,5.4,,1019.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-30,7.6,0.8,15.5,0.0,,,4.9,,1017.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-01-31,9.0,4.4,14.6,1.1,,,4.7,,1017.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-01,9.1,2.4,16.0,0.0,,,5.1,,1021.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-02,9.1,3.2,16.5,0.0,,,5.2,,1019.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-03,8.3,4.0,13.0,0.0,,,5.5,,1020.0,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-04,8.1,3.7,13.4,0.0,,,4.0,,1020.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-05,7.8,2.8,13.5,0.0,,,3.6,,1020.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-06,8.9,3.1,15.6,0.0,,,4.3,,1019.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-07,12.2,5.2,19.4,0.0,,,4.8,,1018.0,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-08,13.0,9.1,17.9,0.0,,,3.5,,1018.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-09,13.1,7.5,19.3,0.0,,,4.5,,1015.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-10,12.9,7.3,20.1,0.0,,,5.3,,1015.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-11,13.0,8.1,19.7,0.0,,,4.9,,1015.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-12,13.3,7.2,20.3,0.0,,,5.2,,1016.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-13,13.9,9.2,20.3,0.0,,,4.7,,1015.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-14,13.1,7.5,20.0,0.0,,,5.0,,1016.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-15,12.8,6.5,20.2,0.0,,,5.8,,1014.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-16,12.6,6.2,20.1,0.0,,,5.9,,1015.0,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-17,12.6,5.8,20.0,0.0,,,5.1,,1016.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-18,13.0,7.2,19.9,0.0,,,5.3,,1019.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-19,13.6,7.9,20.5,0.0,,,5.2,,1021.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-20,14.3,10.0,19.6,0.1,,,4.2,,1020.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-21,15.1,9.9,21.5,0.0,,,4.6,,1019.0,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-22,12.2,10.6,14.3,18.4,,,6.6,,1018.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-23,12.2,8.8,16.6,12.9,,,4.2,,1016.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-24,11.0,7.4,15.4,4.5,,,7.8,,1016.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-25,12.0,8.8,15.6,16.1,,,6.3,,1015.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-26,11.5,9.5,13.5,27.6,,,4.0,,1010.0,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-27,11.2,7.6,15.8,5.5,,,3.0,,1008.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-02-28,11.8,5.6,18.2,0.1,,,3.9,,1013.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-01,12.9,7.4,19.1,0.0,,,5.5,,1016.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-02,13.7,7.5,20.0,0.0,,,4.8,,1017.0,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-03,14.1,9.3,20.3,0.3,,,5.5,,1014.1,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-04,13.3,8.4,18.7,0.5,,,5.0,,1015.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-05,13.7,8.4,20.3,0.0,,,5.4,,1015.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-06,14.6,8.9,20.3,2.0,,,4.1,,1013.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-07,11.8,9.0,15.7,8.8,,,7.6,,1014.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-08,12.4,8.2,17.8,3.3,,,4.4,,1017.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-09,13.7,8.1,20.3,0.1,,,6.0,,1017.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-10,12.3,9.6,16.8,12.3,,,7.7,,1018.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-11,10.8,8.7,13.3,19.7,,,6.4,,1019.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-12,11.3,8.7,14.1,11.9,,,5.8,,1021.5,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-13,14.5,8.9,21.0,0.2,,,5.3,,1020.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-14,11.4,7.7,14.3,14.1,,,6.2,,1017.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-15,13.0,6.5,20.0,0.8,,,5.3,,1015.8,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-16,13.4,7.6,19.9,0.3,,,6.5,,1016.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-17,13.8,8.6,19.4,0.7,,,6.3,,1015.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-18,15.0,8.8,21.5,0.0,,,5.9,,1016.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-19,15.8,9.0,23.1,0.0,,,5.8,,1015.2,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-20,16.4,10.5,22.7,0.0,,,5.4,,1012.6,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-21,12.9,11.2,15.3,15.2,,,5.1,,1013.3,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-22,11.6,10.0,13.4,39.7,,,6.0,,1015.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-23,10.6,9.7,12.4,54.5,,,6.4,,1015.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-24,12.2,8.8,16.5,6.3,,,3.8,,1019.4,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-25,14.6,6.9,21.5,0.0,,,5.2,,1016.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-26,17.2,10.3,24.2,0.0,,,5.3,,1013.9,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2021-03-27,17.8,12.3,24.1,0.0,,,5.2,,1012.7,,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
